atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,ALU__m512       ,_lat  ,1  ,10000000  ,0.932
atanhf8_glibc   ,ALU__m256       ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,ALU__m128       ,_lat  ,1  ,10000000  ,0.986
atanhf16_glibc  ,P5__m512        ,_lat  ,1  ,10000000  ,0.931
atanhf8_glibc   ,P5__m256        ,_lat  ,1  ,10000000  ,0.949
atanhf4_glibc   ,P5__m128        ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,FLOP__m512      ,_lat  ,1  ,10000000  ,0.932
atanhf8_glibc   ,FLOP__m256      ,_lat  ,1  ,10000000  ,1.036
atanhf4_glibc   ,FLOP__m128      ,_lat  ,1  ,10000000  ,0.989
atanhf16_glibc  ,TRANS__m512     ,_lat  ,1  ,10000000  ,0.930
atanhf8_glibc   ,TRANS__m256     ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,TRANS__m128     ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,atanhf16_glibc  ,_tput ,2  ,100000000 ,0.992
atanhf8_glibc   ,atanhf8_glibc   ,_tput ,2  ,100000000 ,0.944
atanhf4_glibc   ,atanhf4_glibc   ,_tput ,2  ,100000000 ,0.995
atanhf16_glibc  ,ALU__m512       ,_tput ,2  ,100000000 ,0.932
atanhf8_glibc   ,ALU__m256       ,_tput ,2  ,100000000 ,0.911
atanhf4_glibc   ,ALU__m128       ,_tput ,2  ,100000000 ,0.943
atanhf16_glibc  ,P5__m512        ,_tput ,2  ,100000000 ,0.894
atanhf8_glibc   ,P5__m256        ,_tput ,2  ,100000000 ,0.910
atanhf4_glibc   ,P5__m128        ,_tput ,2  ,100000000 ,0.973
atanhf16_glibc  ,FLOP__m512      ,_tput ,2  ,100000000 ,0.938
atanhf8_glibc   ,FLOP__m256      ,_tput ,2  ,100000000 ,0.910
atanhf4_glibc   ,FLOP__m128      ,_tput ,2  ,100000000 ,0.941
atanhf16_glibc  ,TRANS__m512     ,_tput ,2  ,100000000 ,0.931
atanhf8_glibc   ,TRANS__m256     ,_tput ,2  ,100000000 ,0.961
atanhf4_glibc   ,TRANS__m128     ,_tput ,2  ,100000000 ,0.947
atanhf16_glibc  ,atanhf16_glibc  ,_lat  ,2  ,10000000  ,0.971
atanhf8_glibc   ,atanhf8_glibc   ,_lat  ,2  ,10000000  ,0.946
atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,2  ,10000000  ,0.984
atanhf16_glibc  ,ALU__m512       ,_lat  ,2  ,10000000  ,0.929
atanhf8_glibc   ,ALU__m256       ,_lat  ,2  ,10000000  ,0.947
atanhf4_glibc   ,ALU__m128       ,_lat  ,2  ,10000000  ,0.989
atanhf16_glibc  ,P5__m512        ,_lat  ,2  ,10000000  ,0.938
atanhf8_glibc   ,P5__m256        ,_lat  ,2  ,10000000  ,0.945
atanhf4_glibc   ,P5__m128        ,_lat  ,2  ,10000000  ,0.992
atanhf16_glibc  ,FLOP__m512      ,_lat  ,2  ,10000000  ,0.949
atanhf8_glibc   ,FLOP__m256      ,_lat  ,2  ,10000000  ,0.950
atanhf4_glibc   ,FLOP__m128      ,_lat  ,2  ,10000000  ,0.988
atanhf16_glibc  ,TRANS__m512     ,_lat  ,2  ,10000000  ,0.921
atanhf8_glibc   ,TRANS__m256     ,_lat  ,2  ,10000000  ,0.951
atanhf4_glibc   ,TRANS__m128     ,_lat  ,2  ,10000000  ,0.987
atanhf16_glibc  ,atanhf16_glibc  ,_tput ,1  ,100000000 ,0.999
atanhf8_glibc   ,atanhf8_glibc   ,_tput ,1  ,100000000 ,0.959
atanhf4_glibc   ,atanhf4_glibc   ,_tput ,1  ,100000000 ,0.987
atanhf16_glibc  ,ALU__m512       ,_tput ,1  ,100000000 ,0.999
atanhf8_glibc   ,ALU__m256       ,_tput ,1  ,100000000 ,0.947
atanhf4_glibc   ,ALU__m128       ,_tput ,1  ,100000000 ,0.986
atanhf16_glibc  ,P5__m512        ,_tput ,1  ,100000000 ,0.959
atanhf8_glibc   ,P5__m256        ,_tput ,1  ,100000000 ,1.032
atanhf4_glibc   ,P5__m128        ,_tput ,1  ,100000000 ,0.969
atanhf16_glibc  ,FLOP__m512      ,_tput ,1  ,100000000 ,0.997
atanhf8_glibc   ,FLOP__m256      ,_tput ,1  ,100000000 ,0.923
atanhf4_glibc   ,FLOP__m128      ,_tput ,1  ,100000000 ,0.985
atanhf16_glibc  ,TRANS__m512     ,_tput ,1  ,100000000 ,0.998
atanhf8_glibc   ,TRANS__m256     ,_tput ,1  ,100000000 ,0.969
atanhf4_glibc   ,TRANS__m128     ,_tput ,1  ,100000000 ,0.986
atanhf16_glibc  ,atanhf16_glibc  ,_lat  ,1  ,10000000  ,0.915
atanhf8_glibc   ,atanhf8_glibc   ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,ALU__m512       ,_lat  ,1  ,10000000  ,0.956
atanhf8_glibc   ,ALU__m256       ,_lat  ,1  ,10000000  ,0.912
atanhf4_glibc   ,ALU__m128       ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,P5__m512        ,_lat  ,1  ,10000000  ,0.979
atanhf8_glibc   ,P5__m256        ,_lat  ,1  ,10000000  ,0.922
atanhf4_glibc   ,P5__m128        ,_lat  ,1  ,10000000  ,0.989
atanhf16_glibc  ,FLOP__m512      ,_lat  ,1  ,10000000  ,0.929
atanhf8_glibc   ,FLOP__m256      ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,FLOP__m128      ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,TRANS__m512     ,_lat  ,1  ,10000000  ,0.930
atanhf8_glibc   ,TRANS__m256     ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,TRANS__m128     ,_lat  ,1  ,10000000  ,0.868
atanhf16_glibc  ,atanhf16_glibc  ,_tput ,2  ,100000000 ,0.990
atanhf8_glibc   ,atanhf8_glibc   ,_tput ,2  ,100000000 ,0.942
atanhf4_glibc   ,atanhf4_glibc   ,_tput ,2  ,100000000 ,0.996
atanhf16_glibc  ,ALU__m512       ,_tput ,2  ,100000000 ,0.932
atanhf8_glibc   ,ALU__m256       ,_tput ,2  ,100000000 ,0.911
atanhf4_glibc   ,ALU__m128       ,_tput ,2  ,100000000 ,0.944
atanhf16_glibc  ,P5__m512        ,_tput ,2  ,100000000 ,0.894
atanhf8_glibc   ,P5__m256        ,_tput ,2  ,100000000 ,0.908
atanhf4_glibc   ,P5__m128        ,_tput ,2  ,100000000 ,0.976
atanhf16_glibc  ,FLOP__m512      ,_tput ,2  ,100000000 ,0.938
atanhf8_glibc   ,FLOP__m256      ,_tput ,2  ,100000000 ,0.909
atanhf4_glibc   ,FLOP__m128      ,_tput ,2  ,100000000 ,0.944
atanhf16_glibc  ,TRANS__m512     ,_tput ,2  ,100000000 ,0.930
atanhf8_glibc   ,TRANS__m256     ,_tput ,2  ,100000000 ,0.957
atanhf4_glibc   ,TRANS__m128     ,_tput ,2  ,100000000 ,0.968
atanhf16_glibc  ,atanhf16_glibc  ,_lat  ,2  ,10000000  ,0.969
atanhf8_glibc   ,atanhf8_glibc   ,_lat  ,2  ,10000000  ,0.948
atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,2  ,10000000  ,0.983
atanhf16_glibc  ,ALU__m512       ,_lat  ,2  ,10000000  ,0.929
atanhf8_glibc   ,ALU__m256       ,_lat  ,2  ,10000000  ,0.947
atanhf4_glibc   ,ALU__m128       ,_lat  ,2  ,10000000  ,0.990
atanhf16_glibc  ,P5__m512        ,_lat  ,2  ,10000000  ,0.935
atanhf8_glibc   ,P5__m256        ,_lat  ,2  ,10000000  ,0.946
atanhf4_glibc   ,P5__m128        ,_lat  ,2  ,10000000  ,0.993
atanhf16_glibc  ,FLOP__m512      ,_lat  ,2  ,10000000  ,0.946
atanhf8_glibc   ,FLOP__m256      ,_lat  ,2  ,10000000  ,0.951
atanhf4_glibc   ,FLOP__m128      ,_lat  ,2  ,10000000  ,0.990
atanhf16_glibc  ,TRANS__m512     ,_lat  ,2  ,10000000  ,0.933
atanhf8_glibc   ,TRANS__m256     ,_lat  ,2  ,10000000  ,0.951
atanhf4_glibc   ,TRANS__m128     ,_lat  ,2  ,10000000  ,0.987
atanhf16_glibc  ,atanhf16_glibc  ,_tput ,1  ,100000000 ,0.998
atanhf8_glibc   ,atanhf8_glibc   ,_tput ,1  ,100000000 ,0.960
atanhf4_glibc   ,atanhf4_glibc   ,_tput ,1  ,100000000 ,0.987
atanhf16_glibc  ,ALU__m512       ,_tput ,1  ,100000000 ,0.999
atanhf8_glibc   ,ALU__m256       ,_tput ,1  ,100000000 ,0.824
atanhf4_glibc   ,ALU__m128       ,_tput ,1  ,100000000 ,0.983
atanhf16_glibc  ,P5__m512        ,_tput ,1  ,100000000 ,0.997
atanhf8_glibc   ,P5__m256        ,_tput ,1  ,100000000 ,0.958
atanhf4_glibc   ,P5__m128        ,_tput ,1  ,100000000 ,1.098
atanhf16_glibc  ,FLOP__m512      ,_tput ,1  ,100000000 ,0.986
atanhf8_glibc   ,FLOP__m256      ,_tput ,1  ,100000000 ,0.961
atanhf4_glibc   ,FLOP__m128      ,_tput ,1  ,100000000 ,0.985
atanhf16_glibc  ,TRANS__m512     ,_tput ,1  ,100000000 ,0.936
atanhf8_glibc   ,TRANS__m256     ,_tput ,1  ,100000000 ,0.842
atanhf4_glibc   ,TRANS__m128     ,_tput ,1  ,100000000 ,0.990
atanhf16_glibc  ,atanhf16_glibc  ,_lat  ,1  ,10000000  ,0.913
atanhf8_glibc   ,atanhf8_glibc   ,_lat  ,1  ,10000000  ,0.942
atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,1  ,10000000  ,0.932
atanhf16_glibc  ,ALU__m512       ,_lat  ,1  ,10000000  ,0.932
atanhf8_glibc   ,ALU__m256       ,_lat  ,1  ,10000000  ,0.943
atanhf4_glibc   ,ALU__m128       ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,P5__m512        ,_lat  ,1  ,10000000  ,0.949
atanhf8_glibc   ,P5__m256        ,_lat  ,1  ,10000000  ,0.949
atanhf4_glibc   ,P5__m128        ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,FLOP__m512      ,_lat  ,1  ,10000000  ,0.930
atanhf8_glibc   ,FLOP__m256      ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,FLOP__m128      ,_lat  ,1  ,10000000  ,1.021
atanhf16_glibc  ,TRANS__m512     ,_lat  ,1  ,10000000  ,0.929
atanhf8_glibc   ,TRANS__m256     ,_lat  ,1  ,10000000  ,0.949
